H,B,Entropy,AvgLatency,P99Latency
3,2,9.17,327.4155155990082,461.8005818709403
3,4,9.91,330.3926831542641,444.16416353485437
4,2,9.63,440.93621875351505,572.0145397717714
4,4,9.96,440.33971886618366,571.9052769112392
5,3,9.96,552.1191508410882,712.438875416804
5,4,9.97,549.9120118443452,711.9898630467524
