H,B,Entropy,StdDev
3,2,6.664132921089196,0.043116223299400416
3,3,8.456829012680107,0.03684399185618081
3,4,9.271323970495057,0.022788391554149027
4,2,7.782787463693038,0.03761788464736675
4,3,9.417705542170854,0.020503812607383185
4,4,9.812139137894619,0.005813858677126835
5,2,8.647747454667304,0.04030161819345862
5,3,9.80359074508909,0.006810223885989211
5,4,9.929692247053751,0.0015275942006451858
